id,student_id,worksheet_id,question_id,question_num,mistake_id,mistake_description,mistake_value,difficulty_level,topic_code1,topic_code2,subtopic_code1,subtopic_code2,sub_subtopic_code1,sub_subtopic_code2
,,,,16,1,Conceptual,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,17,1,Conceptual,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,18,1,Conceptual,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,19,1,Conceptual,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,20,1,Conceptual,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,21,1,Conceptual,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,22,1,Conceptual,0,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,23,1,Conceptual,0,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,24,1,Conceptual,0,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,25,1,Conceptual,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,26,1,Conceptual,1,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,27,1,Conceptual,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,28,1,Conceptual,1,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,29,1,Conceptual,0,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,30,1,Conceptual,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
,,,,16,2,Careless,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,17,2,Careless,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,18,2,Careless,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,19,2,Careless,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,20,2,Careless,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,21,2,Careless,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,22,2,Careless,1,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,23,2,Careless,1,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,24,2,Careless,0,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,25,2,Careless,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,26,2,Careless,0,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,27,2,Careless,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,28,2,Careless,0,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,29,2,Careless,0,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,30,2,Careless,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
,,,,16,3,Presentation,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,17,3,Presentation,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,18,3,Presentation,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,19,3,Presentation,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,20,3,Presentation,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,21,3,Presentation,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,22,3,Presentation,0,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,23,3,Presentation,0,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,24,3,Presentation,1,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,25,3,Presentation,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,26,3,Presentation,0,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,27,3,Presentation,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,28,3,Presentation,0,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,29,3,Presentation,0,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,30,3,Presentation,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
